# British Standard
BS 1:1904
BS 10:1904
BS 1000A:1961
BS 1000C:1963
BS 1016-10:1977
BS 11:1905
BS 12:1904
BS 12:1907
BS 123000:2001
BS 123100-003:2001
BS 123100:2001
BS 123200-003:2001
BS 123200:2001
BS 123300-003:2001
BS 123300:2001
BS 123400-003:2001
BS 123400:2001
BS 123500-003:2001
BS 123500:2001
BS 123600-003:2001
BS 123600:2001
BS 123700-003:2001
BS 123700:2001
BS 123800-003:2001
BS 123800:2001
BS 13:1905
BS 13:1906
BS 1344-A1:1960
BS 1344-A2:1960
BS 1365:1990
BS 14:1905
BS 14:1907
BS 1428-A1:1958
BS 1428-A2:1959
BS 1428-B2:1960
BS 1428-C1:1954
BS 1428-D1:1965
BS 1428:B2:1953
BS 1428:D1:1952
BS 15:1906
BS 1502:1968
BS 1510:1958
BS 16:1905
BS 1741-1:1987
BS 1741-11:1989
BS 18:1907
BS 1892-1:1986
BS 20:1905
BS 20:1908
BS 2000-455:2001
BS 2000-455:2011
BS 2000-456:2000
BS 2062-2:1960
BS 21:1905
BS 23:1905
BS 24:1906
BS 24:1907
BS 2654-3:1968
BS 27:1906
BS 2742:2009
BS 2742C:1957
BS 2742M:1960
BS 2782-0:2011
BS 28:1906
BS 28:1908
BS 29:1907
BS 2901-2:1960
BS 3012:1970
BS 302-5:1987
BS 31:1906
BS 32:1907
BS 33:1906
BS 34:1906
BS 34:1908
BS 3417-3:1986
BS 3456-A1:1961
BS 3456-A10:1961
BS 3456-A12:1962
BS 3456-A15:1962
BS 3456-A17:1962
BS 3456-A2:1961
BS 3456-A2:1962
BS 3456-B2:1961
BS 3456-B2:1963
BS 3483-B2:1974
BS 3483-C1:1974
BS 3483-C1:1980
BS 3630-11:1970
BS 37:1907
BS 38:1907
BS 381C:1996
BS 3821-1:1974
BS 3821-2:1974
BS 3821-3:1974
BS 3823:1990
BS 3876-1:1990
BS 3876-2:1990
BS 3876-5:1990
BS 3878:1982
BS 388:1972
BS 3884-1:1974
BS 39:1907
BS 3900-A1:1965
BS 3900-A2:1965
BS 3900-B15:1987
BS 3900-B2:1970
BS 3900-C1:1965
BS 3900-D1:1966
BS 3900-D1:1970
BS 3900-D1:1978
BS 3900-D10:1986
BS 3900-D11:1998
BS 3900-F6:1976
BS 3903:1977
BS 3905:1995
BS 3993:1966
BS 3996:1978
BS 4:1903
BS 4006:1992
BS 4008:2006
BS 4023:1975
BS 4034:1990
BS 4060:2006
BS 4073:1966
BS 4082-1:1969
BS 4082-2:1969
BS 4087:1989
BS 4094-1:1966
BS 4094-2:1971
BS 4098:1975
BS 41:1908
BS 4102:1998
BS 4105:1990
BS 4115:1993
BS 4116-4:1992
BS 4130:1984
BS 4134:1990
BS 42:1909
BS 4215-2:1987
BS 43:1909
BS 4300-16:1984
BS 4300-2:1969
BS 4300-4:1969
BS 4300-5:1969
BS 4308:1979
BS 44:1909
BS 449-2:1969
BS 45:1909
BS 4575-1:1979
BS 4626:1970
BS 47:1909
BS 4884-1:1973
BS 4884-2:1974
BS 4891:1972
BS 49:1909
BS 4989:1984
BS 5000-11:1973
BS 499-2C:1999
BS 857:1967
BS 7895:1997
BS 5350-0:1987
BS 5350-A1:1976
BS 5350-A2:1990
BS 5350-B5:1976
BS 5350-B9:1984
BS 5350-C1:1986
BS 5350-C10:1979
BS 5350-C11:1979
BS 5350-C12:1979
BS 5350-C13:1980
BS 5350-C13:1990
BS 5350-C14:1979
BS 5350-C15:1990
BS 5350-C5:2002
BS 5350-C7:1990
BS 5350-D4:1976
BS 5350-E1:1976
BS 5350-G3:1987
BS 5350-H1:1981
BS 5350-H2:1982
BS 5350-H3:1984
BS 5350-H4:1984
BS 5401:1982
BS 5406:1976
BS 5501-1:1977
BS 5501-2:1977
BS 5501-3:1977
BS 5501-4:1977
BS 5501-5:1977
BS 5501-6:1977
BS 5501-7:1977
BS 5501-9:1982
BS 5535:1978
BS 5547:1978
BS 5577:1999
BS 5601-2:1978
BS 5924:1980
BS 5944-3:1980
BS 60-2:1913
BS 6168:1987
BS 6380:1983
BS 6402:1983
BS 7079-D1:1993
BS 7870-2
BS 812-113:1990
BS 88-2:1975
BS 88-4:1976
BS 88-5:1980
BS 9:1904
BS 9:1909
BS 903-A1:1956
BS 903-A12:1958
BS 903-A15:1958
BS 903-A16:1956
BS 903-A17:1960
BS 903-A18:1956
BS 903-A21:1961
BS 903-A24:1964
BS 903-A25:1964
BS 903-C1:1956
BS 939:2007
BS 9450:1975
BS 9760:1977

# Identifiers with parts using "/" slash
BS 4300/1:1967
BS 4300/10:1969
BS 4300/11:1969
BS 4300/12:1969
BS 4300/13:1969
BS 4300/14:1973
BS 4300/15:1973
BS 4300/4:1973
BS 4300/5:1973
BS 4300/6:1969
BS 4300/7:1969
BS 4300/8:1969

# Identifiers with subparts
BS 1016-107.2:1991
BS 1016-108.2:1992
BS 1741-10.1:1989
BS 1741-10.2:1989
BS 1741-5.1:1988
BS 1741-5.2:1990
BS 1741-6.1:1990
BS 1741-6.2:1990
BS 1741-7.1:1989
BS 1741-7.2:1989
BS 1892-2.11:1989
BS 1902-5.11:1986
BS 1902-5.13:1984
BS 1902-5.14:1992
BS 3G 100-2.2:1972
BS 3G 100-2.3.0:1972
BS 3G 100-2.3.1:1969
BS 3G 100-2.3.10:197
BS 3G 100-2.3.11:197
BS 3G 100-2.3.12:199
BS 3G 100-2.3.13:197
BS 3G 100-2.3.14:197
BS 3G 100-2.3.2:1970
BS 3G 100-2.3.3:1972
BS 3G 100-2.3.4:1972
BS 3G 100-2.3.5:1972
BS 3G 100-2.3.6:1972
BS 3G 100-2.3.7:1972
BS 3G 100-2.3.8:1972
BS 3G 100-2.3.9:1972
BS 5131-1.2:1991
BS 5131-1.3:1991
BS 5131-1.6:1979
BS 5131-1.7:1991
BS 5131-1.8:1981
BS 5131-1.9:1985
BS 5131-2.1:1991
BS 5131-2.11:1983
BS 5131-2.7:1980
BS 5131-3.1:1991
BS 5131-3.4:1978
BS 5131-3.5:1978
BS 5131-3.6:1991
BS 5131-3.7:1991
BS 5131-4.1:1975
BS 5131-4.2:1990
BS 5131-4.5:1990
BS 5131-4.6:1975
BS 5550-1.3.3:1980
BS 5550-2.12.1:1993
BS 5550-2.7.2:1982
BS 5550-2.9.3:1980
BS 5550-3.1.2:1978
BS 5550-3.10.1:1980
BS 5550-3.10.2:1980
BS 5550-3.12.1:1979
BS 5550-3.9.1:1980
BS 5550-5.4.1:1986
BS 5550-6.4:1980
BS 5550-7.1.1:1980
BS 5550-7.2.5:1980
BS 5550-7.5.4:1981
BS 5551-4.2.2:1987
