# BSI Flex - Pass
# Auto-generated by classify_fixtures.rb

BSI Flex 1886 v2.0:2024-09
BSI Flex 1887 v2.0:2025-01
BSI Flex 1888 v2.0:2025-03
BSI Flex 1889 v2.0:2023-09
BSI Flex 1890 v6.0:2025-03
BSI Flex 1891 v1.0:2025-01
BSI Flex 1904 v2.0:2025-03
BSI Flex 1906 v1.0:2025-03
BSI Flex 1965 v2.0:2023-04
BSI Flex 1969 v1.0:2025-03
BSI Flex 1971 v1.0:2025-04
BSI Flex 2071 v2.0:2025-01
BSI Flex 2072 v2.0:2025-03
BSI Flex 2073 v2.0:2025-03
BSI Flex 236 v3.0:2024-08
BSI Flex 3030 v2.0:2024-12
BSI Flex 335 v2.0:2024
BSI Flex 335 v2.0:2024-03
BSI Flex 350 v2.0:2024-09
BSI Flex 701 v2.0:2025-03
BSI Flex 702 v1.0:2024-10
BSI Flex 703 v1.0:2025-03
BSI Flex 704 v1.0:2025-05
