# ETSI Amendment - Pass
# Auto-generated by classify_fixtures.rb

ETSI ETR 108/A1 ed.1 (1995-08)
ETSI ETS 300 011/A1 ed.1 (1994-12)
ETSI ETS 300 011/A2 ed.1 (1996-03)
ETSI ETS 300 012/A1 ed.1 (1994-12)
ETSI ETS 300 012/A2 ed.1 (1996-03)
ETSI ETS 300 019-1-3/A1 ed.1 (1997-06)
ETSI ETS 300 019-1-4/A1 ed.1 (1997-06)
ETSI ETS 300 019-2-3/A1 ed.1 (1997-06)
ETSI ETS 300 019-2-3/A2 ed.1 (1998-05)
ETSI ETS 300 019-2-4/A1 ed.1 (1997-06)
ETSI ETS 300 056/A1 ed.1 (1996-09)
ETSI ETS 300 065/A1 ed.1 (1998-09)
ETSI ETS 300 067/A1 ed.1 (1993-10)
ETSI ETS 300 072/A1 ed.1 (1996-10)
ETSI ETS 300 075/A1 ed.2 (1995-11)
ETSI ETS 300 086/A1 ed.1 (1996-11)
ETSI ETS 300 086/A2 ed.1 (1997-03)
ETSI ETS 300 092-1/A1 ed.1 (1993-04)
ETSI ETS 300 092-1/A2 ed.1 (1994-11)
ETSI ETS 300 097-1/A1 ed.1 (1994-11)
ETSI ETS 300 102-1/A1 ed.1 (1993-04)
ETSI ETS 300 102-1/A2 ed.1 (1993-10)
ETSI ETS 300 104/A1 ed.1 (1994-06)
ETSI ETS 300 113/A1 ed.2 (1997-03)
ETSI ETS 300 128/A1 ed.1 (1998-02)
ETSI ETS 300 133-2/A1 ed.1 (1994-01)
ETSI ETS 300 133-3/A1 ed.1 (1994-01)
ETSI ETS 300 133-4/A1 ed.1 (1994-01)
ETSI ETS 300 133-5/A1 ed.1 (1994-01)
ETSI ETS 300 133-7/A1 ed.1 (1994-01)
ETSI ETS 300 135/A1 ed.1 (1997-03)
ETSI ETS 300 138-1/A1 ed.1 (1996-01)
ETSI ETS 300 143/A1 ed.1 (1996-01)
ETSI ETS 300 153/A1 ed.1 (1995-01)
ETSI ETS 300 156/A1 ed.1 (1995-03)
ETSI ETS 300 174/A1 ed.1 (1997-08)
ETSI ETS 300 175-6/A1 ed.2 (1997-08)
ETSI ETS 300 183/A1 ed.1 (1998-02)
ETSI ETS 300 185-1/A1 ed.1 (1995-06)
ETSI ETS 300 192/A1 ed.1 (1996-01)
ETSI ETS 300 196-1/A1 ed.1 (1995-05)
ETSI ETS 300 197/A1 ed.1 (1995-04)
ETSI ETS 300 197/A2 ed.1 (1997-03)
ETSI ETS 300 198/A1 ed.1 (1997-03)
ETSI ETS 300 201/A1 ed.1 (1996-09)
ETSI ETS 300 202/A1 ed.1 (1996-09)
ETSI ETS 300 224/A1 ed.1 (1996-11)
ETSI ETS 300 232/A1 ed.1 (1996-03)
ETSI ETS 300 233/A1 ed.1 (1995-03)
ETSI ETS 300 242/A1 ed.1 (1994-09)
ETSI ETS 300 247/A1 ed.1 (1995-11)
ETSI ETS 300 248/A1 ed.1 (1995-11)
ETSI ETS 300 263/A1 ed.1 (1996-03)
ETSI ETS 300 267-1/A1 ed.1 (1996-03)
ETSI ETS 300 279/A1 ed.1 (1997-03)
ETSI ETS 300 280/A1 ed.1 (1996-02)
