# IEC Fragment Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60050-111/AMD1/FRAG1 ED2
IEC 60050-121/AMD2/FRAG1 ED2
IEC 60050-131/AMD1/FRAG1 ED2
IEC 60050-191/AMD1/FRAG1 ED1
IEC 60050-191/AMD2/FRAG2 ED1
IEC 60050-191/FRAG1 ED2
IEC 60050-447/FRAG3 ED2
IEC 60050-521/AMD1/FRAG1 ED1
IEC 60050-521/FRAG1 ED2
IEC 60050-604/AMD2/FRAG1 ED1
IEC 60050-614/FRAG1 ED1
IEC 60050-723/FRAG3 ED1
IEC 60050-802/COR1/FRAGC1 ED1
IEC 60050-807/FRAG2 ED1
IEC 60050-811/FRAG1 ED2
IEC 60050-821/FRAG2 ED1
IEC 60050-891/FRAG1 ED1
