# IEC Guide - Pass
# Auto-generated by classify_fixtures.rb

IEC GUIDE 103:1980
IEC GUIDE 108:2019
IEC GUIDE 115:2021
ISO/IEC GUIDE 13:1977
ISO/IEC GUIDE 14:2003
ISO/IEC GUIDE 14:2018
ISO/IEC GUIDE 15:1977
ISO/IEC GUIDE 16:1978
ISO/IEC GUIDE 17:2016
ISO/IEC GUIDE 2:1986
ISO/IEC GUIDE 2:2004
ISO/IEC GUIDE 21-1:2005
ISO/IEC GUIDE 21-2:2005
ISO/IEC GUIDE 21:1981
ISO/IEC GUIDE 22:1982
ISO/IEC GUIDE 23:1982
ISO/IEC GUIDE 25:1982
ISO/IEC GUIDE 28:1982
ISO/IEC GUIDE 28:2004
ISO/IEC GUIDE 3:1981
ISO/IEC GUIDE 36:1982
ISO/IEC GUIDE 37:1983
ISO/IEC GUIDE 37:1995
ISO/IEC GUIDE 37:2012
ISO/IEC GUIDE 38:1983
ISO/IEC GUIDE 39:1983
ISO/IEC GUIDE 40:1983
ISO/IEC GUIDE 41:2003
ISO/IEC GUIDE 41:2018
ISO/IEC GUIDE 43-1:1997
ISO/IEC GUIDE 43-2:1997
ISO/IEC GUIDE 43:1984
ISO/IEC GUIDE 44:1985
ISO/IEC GUIDE 45:1985
ISO/IEC GUIDE 46:1985
ISO/IEC GUIDE 46:2017
ISO/IEC GUIDE 48:1986
ISO/IEC GUIDE 49:1986
ISO/IEC GUIDE 50:1987
ISO/IEC GUIDE 50:2002
ISO/IEC GUIDE 50:2014
ISO/IEC GUIDE 51:1990
ISO/IEC GUIDE 51:1999
ISO/IEC GUIDE 53:2005
ISO/IEC GUIDE 59:1994
ISO/IEC GUIDE 60:2004
ISO/IEC GUIDE 63:1999
ISO/IEC GUIDE 63:2012
ISO/IEC GUIDE 65:1996
ISO/IEC GUIDE 67:2004
ISO/IEC GUIDE 7:1982
ISO/IEC GUIDE 7:1994
ISO/IEC GUIDE 71:2001
ISO/IEC GUIDE 73:2002
ISO/IEC GUIDE 75:2006
ISO/IEC GUIDE 76:2008
ISO/IEC GUIDE 98-6:2021
