# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

CISPR 11:1975+AMD1:1976 CSV
CISPR 11:1997+AMD1:1999 CSV
CISPR 11:2003+AMD1:2004 CSV
CISPR 11:2009+AMD1:2010 CSV
CISPR 11:2015+AMD1:2016+AMD2:2019 CSV
CISPR 12:2001+AMD1:2005 CSV
CISPR 12:2007+AMD1:2009 CSV
CISPR 13:1996+AMD1:1998 CSV
CISPR 13:2001+AMD1:2003+AMD2:2006 CSV
CISPR 13:2009+AMD1:2015 CSV
CISPR 14-1:2000+AMD1:2001+AMD2:2002 CSV
CISPR 14-1:2005+AMD1:2008+AMD2:2011 CSV
CISPR 14-2:1997+AMD1:2001+AMD2:2008 CSV
CISPR 14-2:2015 RLV
CISPR 15:1996+AMD1:1997+AMD2:1998 CSV
CISPR 15:2000+AMD1:2001+AMD2:2002 CSV
CISPR 15:2005+AMD1:2006+AMD2:2008 CSV
CISPR 15:2013+AMD1:2015 CSV
CISPR 16-1-1:2006+AMD1:2006+AMD2:2007 CSV
CISPR 16-1-1:2010 RLV
CISPR 16-1-1:2010+AMD1:2010+AMD2:2014 CSV
CISPR 16-1-1:2015 RLV
CISPR 16-1-2:2003+AMD1:2004+AMD2:2006 CSV
CISPR 16-1-2:2014 RLV
CISPR 16-1-2:2014+AMD1:2017 CSV
CISPR 16-1-3:2004+AMD1:2016 CSV
CISPR 16-1-3:2004+AMD1:2016+AMD2:2020 CSV
CISPR 16-1-4:2003+AMD1:2004 CSV
CISPR 16-1-4:2007+AMD1:2007 CSV
CISPR 16-1-4:2010+AMD1:2012+AMD2:2017 CSV
CISPR 16-1-4:2019+AMD1:2020 CSV
CISPR 16-1-5:2003+AMD1:2012 CSV
CISPR 16-1-5:2014+AMD1:2016 CSV
CISPR 16-1-6:2014+AMD1:2017 CSV
CISPR 16-1-6:2014+AMD1:2017+AMD2:2022 CSV
CISPR 16-1:1993+AMD1:1997 CSV
CISPR 16-1:1999+AMD1:2002 CSV
CISPR 16-2-1:2003+AMD1:2005 CSV
CISPR 16-2-1:2008+AMD1:2010+AMD2:2013 CSV
CISPR 16-2-1:2014+AMD1:2017 CSV
CISPR 16-2-2:2003+AMD1:2004+AMD2:2005 CSV
CISPR 16-2-3:2010+AMD1:2010+AMD2:2014 CSV
CISPR 16-2-3:2016 RLV
CISPR 16-2-3:2016+AMD1:2019 CSV
CISPR 16-2:1996+AMD1:1999+AMD2:2002 CSV
CISPR 16-4-2:2011+AMD1:2014 CSV
CISPR 16-4-2:2011+AMD1:2014+AMD2:2018 CSV
CISPR 20:1998+AMD1:1999 CSV
CISPR 20:2002+AMD1:2002+AMD2:2004 CSV
CISPR 20:2006+AMD1:2013 CSV
CISPR 22:2005+AMD1:2005+AMD2:2006 CSV
CISPR 22:2008 RLV
CISPR 24:2010+AMD1:2015 CSV
CISPR 32:2015+AMD1:2019 CSV
CISPR 7:1969+AMD1:1973 CSV
CISPR TR 16-3:2000+AMD1:2002 CSV
CISPR TR 16-3:2010+AMD1:2012+AMD2:2015 CSV
CISPR TR 16-3:2020 RLV
CISPR TR 16-4-1:2003+AMD1:2004 CSV
CISPR TR 16-4-3:2004+AMD1:2006 CSV
CISPR TR 16-4-4:2007+AMD1:2017+AMD2:2020 CSV
CISPR TR 16-4-5:2006+AMD1:2014 CSV
CISPR TR 16-4-5:2006+AMD1:2014+AMD2:2021 CSV
CISPR TR 18-1:2017 RLV
CISPR TR 18-2:2017 RLV
CISPR TR 18-3:2017 RLV
CISPR TR 29:2020 RLV
IEC 60027-1:1971+AMD1:1974+AMD2:1977 CSV
IEC 60027-1:1992+AMD1:1997+AMD2:2005 CSV
IEC 60034-1:1969+AMD1:1977+AMD2:1979+AMD3:1980 CSV
IEC 60034-1:1996+AMD1:1997+AMD2:1999 CSV
IEC 60034-1:2017 RLV
IEC 60034-1:2022 RLV
IEC 60034-11:2020 RLV
IEC 60034-12:1980+AMD1:1992 CSV
IEC 60034-12:2002+AMD1:2007 CSV
IEC 60034-12:2016 RLV
IEC 60034-14:1982 CSV
IEC 60034-14:2003+AMD1:2007 CSV
IEC 60034-14:2018 RLV
IEC 60034-18-32:2022 CMV
IEC 60034-18-41:2014+AMD1:2019 CSV
IEC 60034-18-42:2017+AMD1:2020 CSV
IEC 60034-4:1967+AMD1:1973 CSV
IEC 60034-5:2000+AMD1:2006 CSV
IEC 60034-5:2020 RLV
IEC 60034-7:1992+AMD1:2000 CSV
IEC 60034-8:2007+AMD1:2014 CSV
IEC 60034-9:2003+AMD1:2007 CSV
IEC 60034-9:2021 CMV
IEC 60034:2022 SER
IEC 60038:1983+AMD1:1994+AMD2:1997 CSV
IEC 60038:2009+AMD1:2021 CSV
IEC 60044-1:1996+AMD1:2000+AMD2:2002 CSV
IEC 60044-2:1997+AMD1:2000+AMD2:2002 CSV
IEC 60050-161+AMD1:1997+AMD2:1998 CSV ED1.2
IEC 60050-521 CSV ED1.1
IEC 60055-1:1997+AMD1:2005 CSV
IEC 60056-1:1971+AMD1:1975+AMD2:1981 CSV
IEC 60056-2:1971+AMD1:1972+AMD2:1975+AMD3:1977 CSV
IEC 60056-3:1971+AMD1:1975 CSV
IEC 60056-4:1972+AMD1:1975+AMD2:1977 CSV
IEC 60056-5:1971+AMD1:1975 CSV
IEC 60056-6:1971+AMD1:1975 CSV
IEC 60059:1999+AMD1:2009 CSV
IEC 60060:2022 SER
IEC 60061-1:2005 CSV
IEC 60061-2:2005 CSV
IEC 60061-3:2005 CSV
IEC 60061-4:2005 CSV
IEC 60062:2016+AMD1:2019 CSV
IEC 60064:1993+AMD1:2000+AMD2:2002+AMD3:2005 CSV
IEC 60065:1976+AMD1:1978 CSV
IEC 60065:2001+AMD1:2005+AMD2:2010 CSV
IEC 60067:1954 CSV
IEC 60068-1:1988+AMD1:1992 CSV
IEC 60068-2-10:2005+AMD1:2018 CSV
IEC 60068-2-14:1984+AMD1:1986 CSV
IEC 60068-2-18:2017 RLV
IEC 60068-2-20:2021 RLV
IEC 60068-2-30:1980+AMD1:1985 CSV
IEC 60068-2-31:1969+AMD1:1982 CSV
IEC 60068-2-32:1975+AMD2:1990 CSV
IEC 60068-2-33:1971+AMD1:1978 CSV
IEC 60068-2-38:2021 RLV
IEC 60068-2-40:1976+AMD1:1983 CSV
IEC 60068-2-41:1976+AMD1:1983 CSV
IEC 60068-2-5:2018 RLV
IEC 60068-2-52:2017 RLV
IEC 60068-2-58:2015+AMD1:2017 CSV
IEC 60068-2-6:1982+AMD1:1983+AMD2:1985 CSV
IEC 60068-2-60:2015 RLV
IEC 60068-2-64:2008+AMD1:2019 CSV
IEC 60068-2-67:1995+AMD1:2019 CSV
IEC 60068-2-69:2017+AMD1:2019 CSV
IEC 60068-2-7:1983+AMD1:1986 CSV
IEC 60068-2-74:1999+AMD1:2018 CSV
IEC 60068-2-78:2012 RLV
IEC 60068-2-9:1975+AMD1:1984 CSV
IEC 60068-2:2022 SER
IEC 60068-3-3:2019 RLV
IEC 60068-3-5:2018 RLV
IEC 60068-3-6:2018 RLV
