# NIST Circular - Pass
# Auto-generated by classify_fixtures.rb

NBS CIRC 1
NBS CIRC 10
NBS CIRC 100
NBS CIRC 100e2
NBS CIRC 101
NBS CIRC 101e2
!NBS CIRC 101e2supp!NBS CIRC 101e2sup
NBS CIRC 102
NBS CIRC 102e2
NBS CIRC 103
NBS CIRC 103e2
NBS CIRC 103e3
NBS CIRC 103e4
NBS CIRC 104
NBS CIRC 104e2
NBS CIRC 105
NBS CIRC 105e2
NBS CIRC 106
NBS CIRC 107
NBS CIRC 108
NBS CIRC 109
NBS CIRC 10e2
NBS CIRC 10e3
NBS CIRC 10e4
NBS CIRC 11
NBS CIRC 110
NBS CIRC 111
!NBS CIRC 11-1911!NBS CIRC 11e1911
NBS CIRC 111e2
NBS CIRC 111e3
NBS CIRC 112
NBS CIRC 113
NBS CIRC 113e2
NBS CIRC 114
NBS CIRC 114e2
NBS CIRC 115
NBS CIRC 115e2
NBS CIRC 115e3
NBS CIRC 116
NBS CIRC 117
NBS CIRC 117e2
NBS CIRC 118
NBS CIRC 119
NBS CIRC 11e2
!NBS CIRC 11e2-1915!NBS CIRC 11e2.1915
NBS CIRC 11e3
!NBS CIRC 11e3-1917!NBS CIRC 11e3.1917
NBS CIRC 11e4
NBS CIRC 11e5
NBS CIRC 11e6
NBS CIRC 12
NBS CIRC 120
NBS CIRC 121
NBS CIRC 122
NBS CIRC 122e2
NBS CIRC 123
NBS CIRC 123e2
NBS CIRC 124
NBS CIRC 125
NBS CIRC 126
NBS CIRC 127
NBS CIRC 128
NBS CIRC 128e2
NBS CIRC 129
NBS CIRC 13
NBS CIRC 130
NBS CIRC 130e2
NBS CIRC 131
NBS CIRC 132
NBS CIRC 132e2
NBS CIRC 133
NBS CIRC 134
NBS CIRC 134e2
NBS CIRC 135
NBS CIRC 136
NBS CIRC 136e2
NBS CIRC 137
NBS CIRC 138
NBS CIRC 139
NBS CIRC 139e2
NBS CIRC 13e10
NBS CIRC 13e11
!NBS CIRC 13e11supp1928!NBS CIRC 13e11sup1928
NBS CIRC 13e2
!NBS CIRC 13e2revJune1908!NBS CIRC 13e2.June1908
NBS CIRC 13e2.June1908
NBS CIRC 13e3
NBS CIRC 13e4
NBS CIRC 13e5
NBS CIRC 13e6
NBS CIRC 13e7
NBS CIRC 13e8
NBS CIRC 13e9
NBS CIRC 14
NBS CIRC 140
NBS CIRC 140e2
NBS CIRC 141
NBS CIRC 142
NBS CIRC 143
NBS CIRC 144
NBS CIRC 145
NBS CIRC 146
NBS CIRC 147
NBS CIRC 148
NBS CIRC 149
NBS CIRC 14e2
NBS CIRC 14e3
NBS CIRC 14e4
NBS CIRC 14e5
NBS CIRC 15
NBS CIRC 150
NBS CIRC 151
NBS CIRC 152
NBS CIRC 153
NBS CIRC 154
!NBS CIRC 154supp!NBS CIRC 154sup
!NBS CIRC 154supprev!NBS CIRC 154suprev
NBS CIRC 155
NBS CIRC 156
NBS CIRC 157
NBS CIRC 158
NBS CIRC 159
NBS CIRC 15-April1909
NBS CIRC 15e2
NBS CIRC 15e3
NBS CIRC 16
NBS CIRC 160
NBS CIRC 161
NBS CIRC 162
NBS CIRC 163
NBS CIRC 164
NBS CIRC 165
NBS CIRC 165e2
NBS CIRC 166
NBS CIRC 167
NBS CIRC 168
NBS CIRC 169
NBS CIRC 16e2
NBS CIRC 16e3
NBS CIRC 16e4
NBS CIRC 16e5
NBS CIRC 17
NBS CIRC 170
NBS CIRC 171
NBS CIRC 172
NBS CIRC 173
NBS CIRC 174
NBS CIRC 175
NBS CIRC 176
NBS CIRC 177
NBS CIRC 178
NBS CIRC 179
NBS CIRC 17e2
NBS CIRC 17e3
NBS CIRC 17e4
NBS CIRC 18
NBS CIRC 180
NBS CIRC 181
NBS CIRC 182
NBS CIRC 183
NBS CIRC 184
NBS CIRC 185
NBS CIRC 186
NBS CIRC 186e2
NBS CIRC 187
NBS CIRC 187e2
NBS CIRC 188
NBS CIRC 188e2
NBS CIRC 189
NBS CIRC 18e2
NBS CIRC 19
NBS CIRC 190
NBS CIRC 191
NBS CIRC 192
NBS CIRC 193
NBS CIRC 194
NBS CIRC 195
NBS CIRC 196
NBS CIRC 196e2
NBS CIRC 197
NBS CIRC 197e2
NBS CIRC 198
NBS CIRC 199
NBS CIRC 19e2
NBS CIRC 19e3
NBS CIRC 19e4
NBS CIRC 19e5
NBS CIRC 19e6
!NBS CIRC 19supp!NBS CIRC 19sup
NBS CIRC 2
NBS CIRC 20
NBS CIRC 200
NBS CIRC 201
NBS CIRC 202
NBS CIRC 203
NBS CIRC 204
NBS CIRC 205
NBS CIRC 206
NBS CIRC 207
NBS CIRC 208
NBS CIRC 209
NBS CIRC 209e2
NBS CIRC 20e2
NBS CIRC 21
NBS CIRC 210
NBS CIRC 211
NBS CIRC 212
NBS CIRC 213
NBS CIRC 214
NBS CIRC 215
NBS CIRC 216
NBS CIRC 217
NBS CIRC 218
NBS CIRC 219
NBS CIRC 22
NBS CIRC 220
NBS CIRC 221
NBS CIRC 222
NBS CIRC 223
NBS CIRC 224
NBS CIRC 225
NBS CIRC 226
NBS CIRC 227
NBS CIRC 228
NBS CIRC 229
NBS CIRC 22e2
NBS CIRC 23
NBS CIRC 230
NBS CIRC 231
NBS CIRC 232
NBS CIRC 233
NBS CIRC 234
NBS CIRC 235
NBS CIRC 236
NBS CIRC 237
NBS CIRC 238
NBS CIRC 239
NBS CIRC 239e2
NBS CIRC 24
NBS CIRC 240
NBS CIRC 241
NBS CIRC 241e2
NBS CIRC 242
NBS CIRC 242e2
NBS CIRC 243
NBS CIRC 243e2
NBS CIRC 244
NBS CIRC 245
NBS CIRC 246
NBS CIRC 247
NBS CIRC 248
NBS CIRC 249
NBS CIRC 24e2
NBS CIRC 24e3
NBS CIRC 24e4
!NBS CIRC 24e4supp!NBS CIRC 24e4sup
NBS CIRC 24e5
NBS CIRC 24e6
NBS CIRC 24e7
!NBS CIRC 24supp1!NBS CIRC 24sup1
!NBS CIRC 24supp2!NBS CIRC 24sup2
!NBS CIRC 24supp3!NBS CIRC 24sup3
!NBS CIRC 24supp4!NBS CIRC 24sup4
!NBS CIRC 24suppJan1924!NBS CIRC 24supJan1924
!NBS CIRC 24suppJuly1922!NBS CIRC 24supJuly1922
NBS CIRC 25
NBS CIRC 250
NBS CIRC 251
NBS CIRC 252
NBS CIRC 253
NBS CIRC 254
NBS CIRC 255
NBS CIRC 256
NBS CIRC 256e2
NBS CIRC 257
NBS CIRC 258
NBS CIRC 258e2
NBS CIRC 259
NBS CIRC 25e2
NBS CIRC 25e3
NBS CIRC 25e4
NBS CIRC 25e5
NBS CIRC 25e6
NBS CIRC 25e7
NBS CIRC 25e8
NBS CIRC 25e9
NBS CIRC 25insert
!NBS CIRC 25supp!NBS CIRC 25sup
!NBS CIRC 25suppe1924!NBS CIRC 25e1924sup
!NBS CIRC 25suppe1925!NBS CIRC 25e1925sup
!NBS CIRC 25suppe1927!NBS CIRC 25e1927sup
!NBS CIRC 25suppe1928!NBS CIRC 25e1928sup
!NBS CIRC 25suppe1929!NBS CIRC 25e1929sup
!NBS CIRC 25sup-1925!NBS CIRC 25sup1925
!NBS CIRC 25sup-1927!NBS CIRC 25sup1927
!NBS CIRC 25sup-1928!NBS CIRC 25sup1928
!NBS CIRC 25sup-1929!NBS CIRC 25sup1929
NBS CIRC 26
NBS CIRC 260
NBS CIRC 261
NBS CIRC 261e2
NBS CIRC 262
NBS CIRC 263
NBS CIRC 264
NBS CIRC 264e2
NBS CIRC 265
NBS CIRC 265e2
NBS CIRC 266
NBS CIRC 267
NBS CIRC 268
NBS CIRC 269
NBS CIRC 26e2
NBS CIRC 26e3
NBS CIRC 26e4
NBS CIRC 27
NBS CIRC 270
NBS CIRC 271
NBS CIRC 272
NBS CIRC 273
NBS CIRC 274
NBS CIRC 275
NBS CIRC 276
NBS CIRC 277
NBS CIRC 278
NBS CIRC 279
NBS CIRC 27e2
NBS CIRC 28
NBS CIRC 280
NBS CIRC 281
NBS CIRC 282
NBS CIRC 283
NBS CIRC 284
NBS CIRC 285
NBS CIRC 286
NBS CIRC 287
NBS CIRC 288
NBS CIRC 288e2
NBS CIRC 289
NBS CIRC 29
NBS CIRC 290
NBS CIRC 291
NBS CIRC 292
NBS CIRC 293
NBS CIRC 294
NBS CIRC 295
NBS CIRC 296
