# NIST Commercial Standard - Pass
# Auto-generated by classify_fixtures.rb

NBS CS 0-30
NBS CS 0-39
NBS CS 0-40
NBS CS 1
NBS CS 100-42
NBS CS 100-44
NBS CS 100-47
NBS CS 101-43
NBS CS 10-29
NBS CS 102E-42
NBS CS 103-42
NBS CS 103-48
NBS CS 104-46
NBS CS 104-49
NBS CS 105-43
NBS CS 105-48
NBS CS 106-44
NBS CS 107-45
NBS CS 108-43
NBS CS 109-44
NBS CS 110-43
NBS CS 111-43
NBS CS 112-43
NBS CS 11-29
NBS CS 113-44
NBS CS 113-51
NBS CS 11-41
NBS CS 114-43
NBS CS 115-44
NBS CS 116-44
NBS CS 117-44
NBS CS 117-49
NBS CS 118-44
NBS CS 120-44
NBS CS 120-46
NBS CS 120-48
NBS CS 121-45
NBS CS 122-45
NBS CS 122-49
NBS CS 12-29
NBS CS 12-33
NBS CS 123-45
NBS CS 123-49
NBS CS 12-35
NBS CS 12-38
NBS CS 12-40
NBS CS 12-48
NBS CS 125-45
NBS CS 125-47
NBS CS 126-45
NBS CS 127-45
NBS CS 1-28
NBS CS 128-45
NBS CS 128-49
NBS CS 129-46
NBS CS 129-47
NBS CS 130-46
NBS CS 131-46
NBS CS 1-32
NBS CS 132-46
NBS CS 13-30
NBS CS 133-46
NBS CS 13-39
NBS CS 13-42
NBS CS 13-44
NBS CS 134-46
NBS CS 135-46
NBS CS 136-46
NBS CS 137-46
NBS CS 137-51
NBS CS 138-47
NBS CS 138-49
NBS CS 139-47
NBS CS 140-47
NBS CS 141-47
NBS CS 1-42
NBS CS 142-47
NBS CS 142-51
NBS CS 14-31
NBS CS 143-47
NBS CS 14-39
NBS CS 14-43
NBS CS 144-47
NBS CS 14-51
NBS CS 145-47
NBS CS 146-47
NBS CS 148-48
NBS CS 148-50
NBS CS 149-48
NBS CS 150-48
NBS CS 152-48
NBS CS 15-29
NBS CS 15-46
NBS CS 154E-49
NBS CS 155-50
NBS CS 156-49
NBS CS 157-49
NBS CS 158-49
NBS CS 159-49
NBS CS 160-49
NBS CS 161-49
NBS CS 162-49
NBS CS 16-29
NBS CS 163-49
NBS CS 165-50
NBS CS 166-50
NBS CS 167-50
NBS CS 168-50
NBS CS 169-50
NBS CS 170-50
NBS CS 171-50
NBS CS 172-50
NBS CS 17-30
NBS CS 173-50
NBS CS 17-42
NBS CS 174-51
NBS CS 17-47
NBS CS 175-51
NBS CS 176-51
NBS CS 177-51
NBS CS 178-51
NBS CS 179-51
NBS CS 182-51
NBS CS 18-29
NBS CS 184-51
NBS CS 19-30
NBS CS 19-32
NBS CS 20-30
NBS CS 20-36
NBS CS 20-42
NBS CS 20-47
NBS CS 20-49
NBS CS 21-30
NBS CS 21-34
NBS CS 21-36
NBS CS 21-39
NBS CS 22-30
NBS CS 22-40
NBS CS 2-30
NBS CS 23-30
NBS CS 24-30
NBS CS 24-43
NBS CS 25-30
NBS CS 26-30
NBS CS 27-30
NBS CS 27-36
NBS CS 28-32
NBS CS 28-46
NBS CS 29-31
NBS CS 30-31
NBS CS 31-31
NBS CS 31-33
NBS CS 31-35
NBS CS 31-38
NBS CS 32-31
NBS CS 3-28
NBS CS 33-32
NBS CS 33-43
NBS CS 3-38
NBS CS 3-40
NBS CS 34-31
NBS CS 35-31
NBS CS 35-42
NBS CS 35-47
NBS CS 35-49
NBS CS 36-31
NBS CS 36-33
NBS CS 37-31
NBS CS 38-32
NBS CS 39-32
NBS CS 39-37
NBS CS 40-32
NBS CS 41-32
NBS CS 42-32
NBS CS 42-35
NBS CS 42-43
NBS CS 42-49
NBS CS 4-29
NBS CS 43-32
NBS CS 44-32
NBS CS 45-33
NBS CS 45-36
NBS CS 45-38
NBS CS 45-40
NBS CS 45-42
NBS CS 45-45
NBS CS 45-47
NBS CS 45-48
NBS CS 45E-36
NBS CS 46-33
NBS CS 46-36
NBS CS 46-40
NBS CS 46-49
NBS CS 47-34
NBS CS 48-34
NBS CS 48-40
NBS CS 49-34
NBS CS 50-34
NBS CS 51-35
NBS CS 52-35
NBS CS 5-29
NBS CS 53-35
NBS CS 5-40
NBS CS 54-35
NBS CS 5-46
NBS CS 55-35
NBS CS 56-36
NBS CS 56-41
NBS CS 56-49
NBS CS 56E-41
NBS CS 57-36
NBS CS 57-40
NBS CS 58-36
NBS CS 59-36
NBS CS 59-39
NBS CS 59-41
NBS CS 59-44
NBS CS 60-36
NBS CS 60-48
NBS CS 60E-41
NBS CS 61-37
NBS CS 62-38
NBS CS 6-29
