# NIST Commercial Standards Monthly - Pass
# Auto-generated by classify_fixtures.rb

NBS CSM 1
NBS CSM 10
NBS CSM 11
NBS CSM 12
NBS CSM 13
NBS CSM 14
NBS CSM 15
NBS CSM 16
NBS CSM 17
NBS CSM 18
NBS CSM 19
NBS CSM 2
NBS CSM 20
NBS CSM 21
NBS CSM 22
NBS CSM 23
NBS CSM 24
NBS CSM 25
NBS CSM 26
NBS CSM 27
NBS CSM 28
NBS CSM 29
NBS CSM 3
NBS CSM 30
NBS CSM 31
NBS CSM 32
NBS CSM 33
NBS CSM 34
NBS CSM 35
NBS CSM 36
NBS CSM 37
NBS CSM 38
NBS CSM 39
NBS CSM 4
NBS CSM 40
NBS CSM 41
NBS CSM 42
NBS CSM 43
NBS CSM 44
NBS CSM 45
NBS CSM 46
NBS CSM 47
NBS CSM 48
NBS CSM 49
NBS CSM 5
NBS CSM 50
NBS CSM 51
NBS CSM 6
NBS CSM 7
NBS CSM 8
NBS CSM 9
NBS CSM v6n1
NBS CSM v6n10
NBS CSM v6n11
NBS CSM v6n12
NBS CSM v6n2
NBS CSM v6n3
NBS CSM v6n4
NBS CSM v6n5
NBS CSM v6n6
NBS CSM v6n7
NBS CSM v6n8
NBS CSM v6n9
NBS CSM v7n1
NBS CSM v7n10
NBS CSM v7n11
NBS CSM v7n12
NBS CSM v7n2
NBS CSM v7n3
NBS CSM v7n4
NBS CSM v7n5
NBS CSM v7n6
NBS CSM v7n7
NBS CSM v7n8
NBS CSM v7n9
NBS CSM v8n1
NBS CSM v8n10
NBS CSM v8n11
NBS CSM v8n12
NBS CSM v8n2
NBS CSM v8n3
NBS CSM v8n4
NBS CSM v8n5
NBS CSM v8n6
NBS CSM v8n7
NBS CSM v8n8
NBS CSM v8n9
NBS CSM v9n1
NBS CSM v9n10
NBS CSM v9n11
NBS CSM v9n12
NBS CSM v9n2
NBS CSM v9n3
NBS CSM v9n4
NBS CSM v9n5
NBS CSM v9n6
NBS CSM v9n7
NBS CSM v9n8
NBS CSM v9n9
