# NIST Grant Contractor Report - Pass
# Auto-generated by classify_fixtures.rb

NBS GCR 80-287
NIST GCR 01-820
NIST GCR 02-843-1
NIST GCR 04-867
NIST GCR 06-905
NIST GCR 06-906
NIST GCR 08-917-1
NIST GCR 09-917-3
NIST GCR 09-921
NIST GCR 09-922
NIST GCR 09-923
NIST GCR 10-917-6
NIST GCR 11-917-13
NIST GCR 11-936
NIST GCR 11-937
NIST GCR 11-938
NIST GCR 11-942
NIST GCR 11-943
NIST GCR 11-946
NIST GCR 12-967
NIST GCR 14-917-30
NIST GCR 14-976
NIST GCR 14-977
NIST GCR 14-978
NIST GCR 14-979
NIST GCR 14-980
!NIST GCR 15-1000!NIST GCR 15e1000
!NIST GCR 15-1001!NIST GCR 15e1001
!NIST GCR 15-1008!NIST GCR 15e1008
!NIST GCR 15-1009!NIST GCR 15e1009
!NIST GCR 15-1010!NIST GCR 15e1010
NIST GCR 15-917-34
NIST GCR 15-917-35
NIST GCR 15-917-36
NIST GCR 15-917-37
NIST GCR 15-981
NIST GCR 15-982
NIST GCR 15-983
NIST GCR 15-984
NIST GCR 15-985
NIST GCR 15-986-1
NIST GCR 15-986-2
NIST GCR 15-988
NIST GCR 15-990
NIST GCR 15-991
NIST GCR 15-993
NIST GCR 15-994
NIST GCR 15-995
NIST GCR 15-996
NIST GCR 15-997
NIST GCR 15-998
NIST GCR 15-999
NIST GCR 16-001
NIST GCR 16-002
NIST GCR 16-003
NIST GCR 16-005
NIST GCR 16-006
NIST GCR 16-007
NIST GCR 16-008
NIST GCR 16-009
NIST GCR 16-010
NIST GCR 16-011
NIST GCR 16-917-38
NIST GCR 16-917-39
NIST GCR 16-917-40
NIST GCR 16-917-41
NIST GCR 16-917-42
NIST GCR 17-012
NIST GCR 17-013
NIST GCR 17-014
NIST GCR 17-917-44
NIST GCR 17-917-45
NIST GCR 17-917-46v1
NIST GCR 17-917-46v2
NIST GCR 17-917-46v3
NIST GCR 17-917-47
NIST GCR 18-015
NIST GCR 18-016
NIST GCR 18-017
NIST GCR 18-018
NIST GCR 18-019
NIST GCR 18-917-43
NIST GCR 19-020
NIST GCR 19-021
NIST GCR 19-022
NIST GCR 20-023
NIST GCR 20-024
NIST GCR 90-571
NIST GCR 91-592
NIST GCR 96-868
NIST GCR 97-708
NIST GCR 97-738
NIST GCR 98-734
NIST GCR 99-768
NIST GCR 99-779
NIST GCR 99-780
NIST GCR 20-026
NIST GCR 21-027
NIST GCR 20-025
NIST GCR 21-030
NIST GCR 21-029
NIST GCR 21-028
NIST GCR 21-031
NIST GCR 21-917-48v3B
NIST GCR 21-917-48v1B
NIST GCR 21-917-48v1A
NIST GCR 21-917-48v2A
NIST GCR 21-917-48v2B
NIST GCR 21-917-48v3A
NIST GCR 22-032
NIST GCR 22-917-50
NIST GCR 22-035
NIST GCR 22-917-51
NIST GCR 22-033
NIST GCR 22-034
NIST.GCR.23-045-upd1
