# NIST Letter Circular - Pass
# Auto-generated by classify_fixtures.rb

NBS LC 1
NBS LC 10
NBS LC 100
NBS LC 1000
NBS LC 1001
NBS LC 1002
NBS LC 1003
NBS LC 1004
NBS LC 1006
NBS LC 1007
NBS LC 1008
NBS LC 101
NBS LC 1010
NBS LC 1012
NBS LC 1013r1953
NBS LC 1015
NBS LC 1016r1955
NBS LC 1017
NBS LC 1017r1967
NBS LC 1018
NBS LC 1019r1963
NBS LC 1019r1965
NBS LC 1019r1966
NBS LC 102
NBS LC 1020
NBS LC 1021r1955
NBS LC 1022
NBS LC 1023
NBS LC 1024r1956
NBS LC 1025
NBS LC 1026
NBS LC 1027r1957
NBS LC 1028
NBS LC 1029
NBS LC 103
NBS LC 1030
NBS LC 1031
NBS LC 1032
NBS LC 1033
NBS LC 1035
NBS LC 1035r1985
NBS LC 1036r1963
NBS LC 1038
NBS LC 1039
NBS LC 104
NBS LC 1040
NBS LC 105
NBS LC 106
NBS LC 1067-1
NBS LC 1068
NBS LC 1069
NBS LC 107
NBS LC 1070
NBS LC 1071
NBS LC 1072
NBS LC 1073
NBS LC 1074
NBS LC 1075
NBS LC 1076
NBS LC 1078
NBS LC 1078r1977
NBS LC 1079
NBS LC 108
NBS LC 1080
NBS LC 1080r1979
NBS LC 1081
NBS LC 1082
NBS LC 1083
NBS LC 1085
NBS LC 1086
NBS LC 1088
!NBS LC 1088sp!NBS LC 1088 spa
NBS LC 1091
NBS LC 1092
NBS LC 1093
NBS LC 1094
NBS LC 1095
NBS LC 1096
NBS LC 1097
NBS LC 1098
NBS LC 10r1926
NBS LC 110
NBS LC 1100
NBS LC 1101
NBS LC 1102
NBS LC 1103
NBS LC 1104
NBS LC 1106
NBS LC 1107
NBS LC 1108
NBS LC 1109
NBS LC 111
NBS LC 1110
NBS LC 1111
NBS LC 1112
NBS LC 1113
NBS LC 1114
NBS LC 1115
NBS LC 1116
NBS LC 1117
NBS LC 1118
NBS LC 1119
NBS LC 112
NBS LC 1120r1977
NBS LC 1120r1979
NBS LC 1121
NBS LC 1122
NBS LC 1123
NBS LC 1124
NBS LC 1125
NBS LC 1126
NBS LC 1127
NBS LC 1128
NBS LC 113
NBS LC 1130
NBS LC 1132
NBS LC 113r1926
NBS LC 114
NBS LC 115
NBS LC 116
NBS LC 117
NBS LC 118
!NBS LC 118supp1925!NBS LC 118sup1925
!NBS LC 118supp1928!NBS LC 118sup1928
!NBS LC 118supp-12/1926!NBS LC 118sup
NBS LC 119
NBS LC 11r1919
NBS LC 120
NBS LC 121
NBS LC 122
NBS LC 123
NBS LC 124
NBS LC 125
NBS LC 125r1925
NBS LC 127
NBS LC 128
NBS LC 129
NBS LC 12r1919
NBS LC 13
NBS LC 130
NBS LC 131
NBS LC 131r1925
NBS LC 131r1927
NBS LC 132
NBS LC 133
NBS LC 134
NBS LC 135
NBS LC 136
NBS LC 137
NBS LC 138
NBS LC 138r1926
NBS LC 138r1927
NBS LC 139
NBS LC 13r1919
NBS LC 140
NBS LC 141
NBS LC 142
NBS LC 143
NBS LC 143r1925
NBS LC 143r1926
NBS LC 144
NBS LC 144r1925
NBS LC 144r1926
NBS LC 144r1927
NBS LC 144r1928
NBS LC 145
NBS LC 145r1926
NBS LC 145r1927
NBS LC 145r1928
NBS LC 146
NBS LC 146r1925
NBS LC 146r1926
NBS LC 146r1927
NBS LC 146r1928
NBS LC 147r1920
NBS LC 149
NBS LC 14r1919
NBS LC 15
NBS LC 150
NBS LC 151
NBS LC 152
NBS LC 152r1928
NBS LC 153
NBS LC 154
NBS LC 154r1927
NBS LC 155
NBS LC 155r1927
NBS LC 156
NBS LC 157
NBS LC 159
NBS LC 160
NBS LC 160r1925
NBS LC 161
NBS LC 161r1926
NBS LC 162
NBS LC 162r1926
NBS LC 163
NBS LC 164r1925
NBS LC 165
NBS LC 165r1926
NBS LC 166
NBS LC 166r1926
NBS LC 166r1928
NBS LC 167
NBS LC 168
NBS LC 168r1927
NBS LC 169
NBS LC 16r1920
NBS LC 17
NBS LC 170
NBS LC 171
NBS LC 171r1926
NBS LC 172
NBS LC 173
NBS LC 174
NBS LC 175
NBS LC 176
NBS LC 177
NBS LC 178
NBS LC 179
NBS LC 18
NBS LC 180
NBS LC 181
NBS LC 182
NBS LC 182r1926
NBS LC 183
NBS LC 183r1926
NBS LC 184
NBS LC 185
NBS LC 185r1926
NBS LC 185r1928
NBS LC 186
NBS LC 186r1926
NBS LC 187
NBS LC 187r1926
NBS LC 188
NBS LC 189
NBS LC 18r1923
NBS LC 19
NBS LC 190
NBS LC 191
NBS LC 191r1929
NBS LC 192
NBS LC 193
NBS LC 194
NBS LC 195
NBS LC 196
NBS LC 197
NBS LC 198
NBS LC 199
NBS LC 199r1930
NBS LC 2
NBS LC 20
NBS LC 200
NBS LC 201
NBS LC 202
NBS LC 203
NBS LC 204
NBS LC 205
NBS LC 206
NBS LC 207
NBS LC 208
NBS LC 209
NBS LC 21
NBS LC 210
NBS LC 211
NBS LC 212
NBS LC 213
NBS LC 214
NBS LC 215
NBS LC 216
NBS LC 217
NBS LC 218
NBS LC 219
NBS LC 22
NBS LC 220
NBS LC 221
NBS LC 222
NBS LC 223
NBS LC 224
NBS LC 225
NBS LC 226
NBS LC 227
NBS LC 228
NBS LC 229
NBS LC 23
NBS LC 230
NBS LC 232
NBS LC 233
NBS LC 234
NBS LC 235
NBS LC 235r1927
NBS LC 235r1928
NBS LC 236
NBS LC 237
NBS LC 238
NBS LC 239
NBS LC 23r1923
NBS LC 24
NBS LC 240
NBS LC 241r1928
NBS LC 242
NBS LC 243
NBS LC 244
NBS LC 245
NBS LC 246
NBS LC 247
NBS LC 248
NBS LC 249
NBS LC 24r1925
NBS LC 250
NBS LC 251
NBS LC 252
NBS LC 253
NBS LC 254
NBS LC 255
NBS LC 256
NBS LC 256Ar1930
NBS LC 257
NBS LC 258
NBS LC 259
NBS LC 26
NBS LC 260
NBS LC 261
NBS LC 262
NBS LC 263r1929
NBS LC 264
NBS LC 265
NBS LC 266
NBS LC 267
NBS LC 268
NBS LC 269
NBS LC 27
NBS LC 270
NBS LC 271
NBS LC 272
NBS LC 273r1929
NBS LC 274
NBS LC 275
NBS LC 276
NBS LC 277
NBS LC 278
NBS LC 279
NBS LC 28
NBS LC 280
NBS LC 281
NBS LC 282
NBS LC 283
NBS LC 284
NBS LC 285
NBS LC 286
NBS LC 287
NBS LC 288
NBS LC 289
NBS LC 28r1924
NBS LC 28r1925
NBS LC 29
NBS LC 290
NBS LC 291
NBS LC 292
NBS LC 293
NBS LC 294
NBS LC 295
NBS LC 296
NBS LC 297
NBS LC 298
NBS LC 299
NBS LC 2r1925
NBS LC 3
NBS LC 30
NBS LC 300
NBS LC 301
NBS LC 302
NBS LC 303
NBS LC 304
NBS LC 305
NBS LC 306
NBS LC 307
NBS LC 308
NBS LC 309
NBS LC 30r1926
NBS LC 31
NBS LC 310
NBS LC 311
NBS LC 312
NBS LC 313
NBS LC 314
NBS LC 315
NBS LC 316
NBS LC 317
NBS LC 318
NBS LC 319
NBS LC 32
NBS LC 320r1932
NBS LC 321
NBS LC 322
NBS LC 323
NBS LC 324r1932
NBS LC 325
NBS LC 326
NBS LC 327
NBS LC 328
NBS LC 329
NBS LC 32r1928
!NBS LC 32supp!NBS LC 32sup
NBS LC 33
NBS LC 330
NBS LC 331
NBS LC 332
NBS LC 333
NBS LC 334
NBS LC 335
NBS LC 336
NBS LC 337
NBS LC 338
NBS LC 339
NBS LC 34
NBS LC 340
NBS LC 341
NBS LC 342r1932
NBS LC 343
