# NIST Miscellaneous Publication - Pass
# Auto-generated by classify_fixtures.rb

NBS MP 1
NBS MP 10
NBS MP 100
NBS MP 101
NBS MP 102
NBS MP 103
NBS MP 104
NBS MP 105
NBS MP 107
NBS MP 108
NBS MP 109
NBS MP 11
NBS MP 110
NBS MP 112
NBS MP 113
NBS MP 114
NBS MP 115
NBS MP 116
NBS MP 117
NBS MP 118
NBS MP 119
NBS MP 12
NBS MP 120
NBS MP 121
NBS MP 122
NBS MP 123
NBS MP 124
NBS MP 125
NBS MP 126
NBS MP 127
NBS MP 128
NBS MP 129
NBS MP 13
NBS MP 130
NBS MP 131
NBS MP 132
NBS MP 133
NBS MP 134
NBS MP 135
NBS MP 136
NBS MP 137
NBS MP 138
NBS MP 139
NBS MP 14
NBS MP 140
NBS MP 141
NBS MP 142
NBS MP 143
NBS MP 144
NBS MP 145
NBS MP 146
NBS MP 147
NBS MP 148
NBS MP 149
NBS MP 15
NBS MP 150
NBS MP 151
NBS MP 152
NBS MP 153
NBS MP 154
NBS MP 155
NBS MP 156
NBS MP 157
NBS MP 158
NBS MP 159
NBS MP 16
NBS MP 160
NBS MP 161
NBS MP 162
NBS MP 163
NBS MP 164
NBS MP 165
NBS MP 166
NBS MP 167
NBS MP 168
NBS MP 169
NBS MP 17
NBS MP 170
NBS MP 171
NBS MP 172
NBS MP 173
NBS MP 174
NBS MP 175
NBS MP 176
NBS MP 177
NBS MP 178
NBS MP 178-2
NBS MP 179
NBS MP 18
NBS MP 180
NBS MP 181
NBS MP 182
NBS MP 183
NBS MP 184
NBS MP 185
NBS MP 186
NBS MP 187
NBS MP 188
NBS MP 189
NBS MP 19
NBS MP 190
NBS MP 191
NBS MP 192
NBS MP 193
NBS MP 194
NBS MP 195
NBS MP 196
NBS MP 197
NBS MP 198
NBS MP 199
NBS MP 2
NBS MP 200
NBS MP 201
NBS MP 20-1
NBS MP 202
NBS MP 20-2
NBS MP 203
NBS MP 20-3
NBS MP 204
NBS MP 205
NBS MP 206
NBS MP 207
NBS MP 208
NBS MP 209
NBS MP 21
NBS MP 210
NBS MP 211
NBS MP 212
NBS MP 213
NBS MP 214
NBS MP 215
NBS MP 216
NBS MP 217
NBS MP 218
NBS MP 219
NBS MP 22
NBS MP 220
NBS MP 221
NBS MP 222
NBS MP 223
NBS MP 224
NBS MP 225
NBS MP 226
NBS MP 227
NBS MP 228
NBS MP 229
NBS MP 23
NBS MP 230
NBS MP 231
NBS MP 233
NBS MP 234
NBS MP 235
NBS MP 236
NBS MP 237
NBS MP 238
NBS MP 239
NBS MP 24
NBS MP 240
NBS MP 240-2
NBS MP 241
NBS MP 242
NBS MP 243
NBS MP 244
NBS MP 245
NBS MP 246
NBS MP 247
NBS MP 248
NBS MP 249
NBS MP 25
NBS MP 250
NBS MP 251
NBS MP 252
NBS MP 253
NBS MP 254
NBS MP 255
NBS MP 256
NBS MP 257
NBS MP 258
NBS MP 259
NBS MP 26
NBS MP 260e1965
NBS MP 260e1967
NBS MP 260e1968
NBS MP 261
NBS MP 262-1
NBS MP 262-2
NBS MP 263
NBS MP 264
NBS MP 265
NBS MP 266
NBS MP 267
NBS MP 268
NBS MP 269
NBS MP 27
NBS MP 270
NBS MP 271
NBS MP 272
NBS MP 273
NBS MP 274
NBS MP 275
NBS MP 276
NBS MP 277
!NBS MP 277supp1!NBS MP 277sup1!
NBS MP 278
!NBS MP 278supp1!NBS MP 278sup1!
NBS MP 279
NBS MP 28
NBS MP 280
NBS MP 281
NBS MP 282
NBS MP 283
NBS MP 284
NBS MP 285
NBS MP 286
NBS MP 287
NBS MP 288
NBS MP 289
NBS MP 29
NBS MP 290
NBS MP 291
NBS MP 292
NBS MP 293
NBS MP 294
NBS MP 3
NBS MP 30
NBS MP 31
NBS MP 32
NBS MP 33
NBS MP 34
NBS MP 35
NBS MP 36
NBS MP 37
NBS MP 38
NBS MP 39-1
NBS MP 39-2
NBS MP 39-3
NBS MP 4
NBS MP 40
NBS MP 41
NBS MP 42
NBS MP 43
NBS MP 44
NBS MP 45
NBS MP 46
NBS MP 47
NBS MP 48
NBS MP 49
NBS MP 5
NBS MP 50
NBS MP 51
NBS MP 52
NBS MP 53
NBS MP 54
NBS MP 55
NBS MP 56
NBS MP 57
NBS MP 58
NBS MP 59
NBS MP 6
NBS MP 60
NBS MP 61
NBS MP 66
NBS MP 67
NBS MP 68
NBS MP 7
NBS MP 70
NBS MP 71
NBS MP 72
NBS MP 73
NBS MP 74
NBS MP 75
NBS MP 76
NBS MP 77
NBS MP 78
NBS MP 79
NBS MP 8
NBS MP 80
NBS MP 81
NBS MP 82
NBS MP 83
NBS MP 84
NBS MP 85
NBS MP 86
NBS MP 87
NBS MP 88
NBS MP 89
NBS MP 9
NBS MP 90
NBS MP 90e2
NBS MP 91
NBS MP 92
NBS MP 93
NBS MP 94
NBS MP 95
NBS MP 96
NBS MP 97
NBS MP 98
NBS MP 99
!NIST MP 275!NBS MP 275
