# NIST Monograph - Pass
# Auto-generated by classify_fixtures.rb

NBS MONO 1
NBS MONO 10
NBS MONO 100
NBS MONO 101
NBS MONO 102
NBS MONO 103
NBS MONO 104
NBS MONO 105
NBS MONO 106
NBS MONO 107
NBS MONO 108
NBS MONO 109
NBS MONO 11
NBS MONO 110
NBS MONO 111
NBS MONO 112
NBS MONO 113v1
NBS MONO 113v2
NBS MONO 113v3
NBS MONO 114
NBS MONO 115
NBS MONO 116
NBS MONO 117
NBS MONO 118
NBS MONO 119
NBS MONO 12
NBS MONO 120
NBS MONO 121
NBS MONO 122
NBS MONO 123
NBS MONO 124
NBS MONO 125
!NBS MONO 125supp1!NBS MONO 125sup1
NBS MONO 126
NBS MONO 127
NBS MONO 128pt1
NBS MONO 129
NBS MONO 13
NBS MONO 130
NBS MONO 131
NBS MONO 132
NBS MONO 133
NBS MONO 134
NBS MONO 135
NBS MONO 136
NBS MONO 137
NBS MONO 138
NBS MONO 139
NBS MONO 14
NBS MONO 140
NBS MONO 141
NBS MONO 142
NBS MONO 143
NBS MONO 144
NBS MONO 145pt1
NBS MONO 145pt2
NBS MONO 146
NBS MONO 147
!NBS MONO 147supp1!NBS MONO 147sup1
NBS MONO 148
NBS MONO 149
NBS MONO 15
NBS MONO 150
NBS MONO 151
NBS MONO 152
NBS MONO 153
NBS MONO 154
NBS MONO 155
NBS MONO 155e1999
NBS MONO 156
NBS MONO 157
NBS MONO 158
NBS MONO 159
NBS MONO 16
NBS MONO 160
NBS MONO 161
NBS MONO 162
NBS MONO 163
NBS MONO 164
NBS MONO 165
NBS MONO 166
NBS MONO 167
NBS MONO 168
NBS MONO 169
NBS MONO 17
NBS MONO 170
NBS MONO 172
NBS MONO 173
NBS MONO 174
NBS MONO 18
NBS MONO 19
NBS MONO 2
NBS MONO 20
NBS MONO 21
NBS MONO 22
NBS MONO 23
NBS MONO 24
NBS MONO 25-1
NBS MONO 25-10
NBS MONO 25-11
NBS MONO 25-12
NBS MONO 25-13
NBS MONO 25-14
NBS MONO 25-15
NBS MONO 25-16
NBS MONO 25-17
NBS MONO 25-18
NBS MONO 25-19
NBS MONO 25-2
NBS MONO 25-20
NBS MONO 25-21
NBS MONO 25-3
NBS MONO 25-4
NBS MONO 25-5
NBS MONO 25-6
NBS MONO 25-7
NBS MONO 25-8
NBS MONO 25-9
NBS MONO 26
!NBS MONO 27supp1!NBS MONO 27sup1
!NBS MONO 27supp2!NBS MONO 27sup2
NBS MONO 28
NBS MONO 29
NBS MONO 30
NBS MONO 31
NBS MONO 32-1
NBS MONO 32-2
!NBS MONO 32supp!NBS MONO 32sup
NBS MONO 33
NBS MONO 34v1
NBS MONO 34v2
NBS MONO 35
!NBS MONO 35supp1!NBS MONO 35sup1
NBS MONO 36
NBS MONO 37
NBS MONO 38
NBS MONO 39
NBS MONO 3v1
NBS MONO 3v2
NBS MONO 4
NBS MONO 40
NBS MONO 41
NBS MONO 42
NBS MONO 43v1
NBS MONO 43v2
NBS MONO 44
NBS MONO 45
NBS MONO 46
NBS MONO 47
NBS MONO 48
NBS MONO 49
NBS MONO 5
NBS MONO 50
NBS MONO 51
NBS MONO 52
NBS MONO 53
NBS MONO 54
NBS MONO 55
NBS MONO 56
NBS MONO 57
NBS MONO 58
NBS MONO 59
NBS MONO 6
NBS MONO 60
NBS MONO 61
NBS MONO 62
NBS MONO 63
NBS MONO 64
NBS MONO 65
NBS MONO 66
NBS MONO 67
NBS MONO 68
NBS MONO 69
NBS MONO 7
NBS MONO 70v1
NBS MONO 70v2
NBS MONO 70v3
NBS MONO 70v4
NBS MONO 70v5
NBS MONO 71
NBS MONO 72
NBS MONO 73
NBS MONO 74
NBS MONO 75
NBS MONO 76
NBS MONO 77
NBS MONO 78
NBS MONO 79
NBS MONO 8
NBS MONO 80
NBS MONO 81
NBS MONO 82
NBS MONO 83
NBS MONO 84
NBS MONO 85
NBS MONO 86
NBS MONO 87
NBS MONO 88
NBS MONO 89
NBS MONO 9
NBS MONO 90
NBS MONO 91
NBS MONO 91e1970
NBS MONO 92
NBS MONO 93
NBS MONO 94
NBS MONO 95
NBS MONO 96
NBS MONO 97
NBS MONO 98
NBS MONO 99
NIST MONO 175
NIST MONO 176
NIST MONO 177
NIST MONO 178
NIST MONO 179
NIST MONO 180
!NBS MONO 128p1!NBS MONO 128pt1
!NBS MONO 145p1!NBS MONO 145pt1
!NBS MONO 145p2!NBS MONO 145pt2
!NIST.MONO.1-1b!NIST MONO 1-1B
!NIST.MONO.1-1cv1!NIST MONO 1-1Cv1
!NIST.MONO.1-1cv2!NIST MONO 1-1Cv2
!NIST.MONO.1-1d!NIST MONO 1-1D
!NIST.MONO.1-1e!NIST MONO 1-1E
!NIST.MONO.1-1f!NIST MONO 1-1F
!NIST.MONO.1-1g!NIST MONO 1-1G
!NIST.MONO.1-1h!NIST MONO 1-1H
!NIST.MONO.1-1i!NIST MONO 1-1I
!NIST.MONO.1-1j!NIST MONO 1-1J
!NIST.MONO.1-2bv1!NIST MONO 1-2Bv1
!NIST.MONO.1-2bv2!NIST MONO 1-2Bv2
!NIST.MONO.1-3b!NIST MONO 1-3B
!NIST.MONO.1-3cv1!NIST MONO 1-3Cv1
!NIST.MONO.1-3cv2!NIST MONO 1-3Cv2
!NIST.MONO.1-3d!NIST MONO 1-3D
!NIST.MONO.1-3e!NIST MONO 1-3E
!NIST.MONO.1-4b!NIST MONO 1-4B
!NIST.MONO.1-4c!NIST MONO 1-4C
!NIST.MONO.1-4d!NIST MONO 1-4D
!NIST.MONO.1-5bv1!NIST MONO 1-5Bv1
!NIST.MONO.1-5bv2!NIST MONO 1-5Bv2
!NIST.MONO.1-5c!NIST MONO 1-5C
!NIST.MONO.1-5d!NIST MONO 1-5D
!NIST.MONO.1-5e!NIST MONO 1-5E
!NIST.MONO.1-5f!NIST MONO 1-5F
!NIST.MONO.1-5g!NIST MONO 1-5G
!NIST.MONO.1-6b!NIST MONO 1-6B
!NIST.MONO.1-6c!NIST MONO 1-6C
!NIST.MONO.1-6dv1!NIST MONO 1-6Dv1
!NIST.MONO.1-6dv2!NIST MONO 1-6Dv2
!NIST.MONO.1-7b!NIST MONO 1-7B
