# NIST Nsrds - Pass
# Auto-generated by classify_fixtures.rb

NBS NSRDS 1
NBS NSRDS 10
NBS NSRDS 11
NBS NSRDS 12
NBS NSRDS 13
NBS NSRDS 14
NBS NSRDS 15
NBS NSRDS 16
NBS NSRDS 17
NBS NSRDS 18
NBS NSRDS 19
NBS NSRDS 2
NBS NSRDS 20
NBS NSRDS 21
NBS NSRDS 22
NBS NSRDS 23
NBS NSRDS 24
NBS NSRDS 25
NBS NSRDS 26
NBS NSRDS 27
NBS NSRDS 28
NBS NSRDS 29
NBS NSRDS 30
NBS NSRDS 31
NBS NSRDS 32
NBS NSRDS 33
NBS NSRDS 34
NBS NSRDS 35v1
NBS NSRDS 35v2
NBS NSRDS 35v3
NBS NSRDS 36
NBS NSRDS 37
NBS NSRDS 38
NBS NSRDS 39
NBS NSRDS 3sec1
NBS NSRDS 3sec10
NBS NSRDS 3sec11
NBS NSRDS 3sec2
NBS NSRDS 3sec3
NBS NSRDS 3sec4
NBS NSRDS 3sec5
NBS NSRDS 3sec6
NBS NSRDS 3sec7
NBS NSRDS 3sec8
NBS NSRDS 3sec9
NBS NSRDS 4
NBS NSRDS 40
NBS NSRDS 41
NBS NSRDS 42
NBS NSRDS 43
!NBS NSRDS 43supp!NBS NSRDS 43sup
NBS NSRDS 44
NBS NSRDS 45
NBS NSRDS 46
NBS NSRDS 47
NBS NSRDS 48
NBS NSRDS 49
NBS NSRDS 5
NBS NSRDS 50
NBS NSRDS 51
NBS NSRDS 52
NBS NSRDS 53
NBS NSRDS 54
NBS NSRDS 55
NBS NSRDS 56
NBS NSRDS 57
NBS NSRDS 58
NBS NSRDS 59
NBS NSRDS 6
NBS NSRDS 60
NBS NSRDS 61pt1
NBS NSRDS 61pt2
NBS NSRDS 61pt3
NBS NSRDS 61pt4
NBS NSRDS 61pt5
NBS NSRDS 62
!NBS NSRDS 63indx!NBS NSRDS 63i ndx
!NBS NSRDS 63supp1!NBS NSRDS 63sup1
!NBS NSRDS 63supp2!NBS NSRDS 63sup2
NBS NSRDS 63v1
NBS NSRDS 63v2
NBS NSRDS 63v3
NBS NSRDS 63v4
NBS NSRDS 64
NBS NSRDS 65
NBS NSRDS 66pt1
NBS NSRDS 67
NBS NSRDS 68
NBS NSRDS 69
NBS NSRDS 7
NBS NSRDS 70
NBS NSRDS 71
NBS NSRDS 72
NBS NSRDS 73pt1
NBS NSRDS 73pt2
NBS NSRDS 8
NBS NSRDS 9
!NIST NSRDS 100-2017!NIST NSRDS 100e2017
NIST NSRDS 154
NIST NSRDS 164
!NIST NSRDS 2-2017!NIST NSRDS 2e2017
NIST NSRDS 49
!NIST NSRDS 49-2017!NIST NSRDS 49e2017
!NIST NSRDS 49-2018!NIST NSRDS 49e2018
!NIST NSRDS 6-2017!NIST NSRDS 6e2017
NIST NSRDS 64
NIST NSRDS 73
!NIST NSRDS 73-2018!NIST NSRDS 73e2018
!NIST NSRDS 73-2020!NIST NSRDS 73e2020
!NIST NSRDS 100-2021!NIST NSRDS 100e2021
!NBS NSRDS 61p1!NBS NSRDS 61pt1
!NBS NSRDS 61p2!NBS NSRDS 61pt2
!NBS NSRDS 61p3!NBS NSRDS 61pt3
!NBS NSRDS 61p4!NBS NSRDS 61pt4
!NBS NSRDS 61p5!NBS NSRDS 61pt5
!NBS NSRDS 66p1!NBS NSRDS 66pt1
!NBS NSRDS 73p1!NBS NSRDS 73pt1
!NBS NSRDS 73p2!NBS NSRDS 73pt2
